Company,Contact,Email,Website,Country,WhatsApp,Category,Source,Status,Note,Level,Owner,NextFollowup,History
GSM GPS Tracker for Vehicle Location CU-07A - Security of Goods and People,,Not found,https://www.normequip.com/traceur-gsm-gps-pour-localisation-de-vehicules-cu-07a.html,,,ELDERLY,EUROPAGES,NEW,,C,sales,,
Digitanimal,,"dpd@digitanimal.com, ejemplo@ejemplo.com, info@digitanimal.com, info@digitanimal.it",https://digitanimal.com/,,"0 0 352 512, 0 0 448 512, 0 0 512 512",ELDERLY,EUROPAGES,NEW,,C,sales,,
Virtual Fencing GPS,,"f@4.gh, h@0h.ug, kb@c.2",https://supplier-offers-media-production.s3.eu-central-1.amazonaws.com/87debd26-4acc-11f1-8921-0a58a9feac02.pdf,,"0 0 220 421, 0 0 2480 3508, 0 0 2607 1738",ELDERLY,EUROPAGES,NEW,,C,sales,,
GPS Tracker Xcsource G925 Heavy Duty Magnet Tracker,,info@intertronics.eu,https://intertronics.eu,,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,EUROPAGES,NEW,,C,sales,,
"Geolocation of company vehicles - For light vehicles, utility vehicles, heavy trucks, construction machinery...",,Not found,https://www.geolocpro.com,,"0 0 100 100, 0 0 448 512, 0 0.547-0.453 1-1 1",ELDERLY,EUROPAGES,NEW,,C,sales,,
AUT,,Not found,https://autotrackershop.co.uk/,United Kingdom,,ELDERLY,EUROPAGES,NEW,,C,sales,,
PTZ Cameras - 4G Connectivity,,"info@sefor.cz, obchod@sefor.cz, ol-mapbox-style@13.0.1",https://sefor.cz/en/,Czech Republic,"+420 728 357 405, +420 731 670 510, +420603986732",ELDERLY,EUROPAGES,NEW,,C,sales,,
Rocco Investigazioni,,"gennaro.rocco@sdainvestigazioni.com, mario@esempio.it",https://roccosdainvestigazioni.com/,,"+39 000 000 0000, +39 33 8950 0902, +393389500902",ELDERLY,EUROPAGES,NEW,,C,sales,,
MK 3 Location System,,portal@my-track.com,http://www.mywerk.com,,"+45 (0)70237733, +4570237733, +49 (0)2562 949 65 50",ELDERLY,EUROPAGES,NEW,,C,sales,,
KP,,info@kldprints.be,https://www.kldprints.be,Belgium,"+31(0)123456789, 0-6.627-5.373-12-12-12, 00000000000000",ELDERLY,EUROPAGES,NEW,,C,sales,,
Waldbike GmbH & Co. KG,,"info@kfz-innung-stuttgart.de, info@wald.bike",https://www.waldbike.de,Germany,"+49 7051 7979 170, +49 7051 7979-170, 0 0 1261 1601",ELDERLY,EUROPAGES,NEW,,C,sales,,
DUAL AXIS TRACKER PST-2AL WITH SOLAR TRACKING SYSTEM,,Not found,https://www.ecplaza.net/,,,ELDERLY,EUROPAGES,NEW,,C,sales,,
syniotec GmbH,,info@syniotec.com,https://syniotec.de/,Germany,"+49 421 836 797 00, +49 421 83679700, +4942183679700",ELDERLY,EUROPAGES,NEW,,C,sales,,
Webfleet Solutions Sales B.V.,,Not found,https://www.webfleet.com/de_de/webfleet/fleet-management/,,"+496966308024, 0 0 300 300, 0 10-1.9 19.4-5.4 28.2",ELDERLY,EUROPAGES,NEW,,C,sales,,
Schlüter Automation und Sensorik GmbH,,Not found,http://www.schlueter-automation.de/,Germany,"+49 7671 - 9 92 56 - 0, +49 7671 99256-0, +49 7671 99256-50",ELDERLY,EUROPAGES,NEW,,C,sales,,
MW Robotics Germany GmbH,,info@mw-robotics.de,http://www.mw-robotics.de/,Germany,"03723 2069996, 1777885771",ELDERLY,EUROPAGES,NEW,,C,sales,,
AAM,,"compliance@astra-amco.com, info@astra-amco.com",https://astra-amco.com/,,"+44 (0) 20 3189 9700, +442031899700, 0.0859104",ELDERLY,EUROPAGES,NEW,,C,sales,,
TRA,,grad@20..48,https://trackit247.com,,"0 0 448 512, 0 0 512 512, 0 0.828-0.672 1.5-1.5 1.5",ELDERLY,EUROPAGES,NEW,,C,sales,,
Asset Management Solutions,,Not found,https://www.capitalliberty.co.uk,United Kingdom,,ELDERLY,EUROPAGES,NEW,,C,sales,,
International vehicle transport,,tboada@transportesboada.com,http://www.transportesboada.com,,"+34 983 54 50 24, +34983545024, 1666085832",ELDERLY,EUROPAGES,NEW,,C,sales,,
NordicTekno Oy,,Not found,https://www.nordictekno.com,,"+358413129115, 0 .07 0 .14.14.14, 0 .07.07.14.21.14",ELDERLY,EUROPAGES,NEW,,C,sales,,
GPS Geolocation - GPS Geolocation Solutions,,contacto@cuestiondegastos.es,https://cuestiondegastos.es/,Spain,"0 0 1024 1024, 08-504.228, 082 504.226",ELDERLY,EUROPAGES,NEW,,C,sales,,
SPEDION  GmbH,,"bewerbung@spedion.de, buchhaltung@spedion.de, info@spedion.de, projektteam@spedion.de, support@spedion.de, versand@spedion.de",https://www.spedion.de/,Germany,"+49 (0) 6024 50990 0, +49 (0) 6024 50990-0, +49 (0) 6024 50990-119",ELDERLY,EUROPAGES,NEW,,C,sales,,
"Android Car Radio Navigation 3D - 1 Din 7"" Touchscreen - GPS DVD USB Bluetooth WIFI",,Not found,https://www.realmediashop.de/Car-Multimedia-Systems-Car-Accessories-GPS-Navigation-Systems,Germany,,ELDERLY,EUROPAGES,NEW,,C,sales,,
GPS Tracking System for Vehicles - Ready to Use Immediately,,"info@cynatix.com, support@cynatix.com",http://cynatix.com,,"+49 (0)30 1208 2989, 0 .19 0 .38-.064.635, 0 .243.08.486.243.567",ELDERLY,EUROPAGES,NEW,,C,sales,,
TYVA Battery Management System (BMS) Electronics Compatible With CAN 2.0B and SMBUS,,Not found,https://www.europages.co.uk/en/company/tyva-energie-22225012/products/tyva-energie-gestion-de-batterie-bms-electronique-compatible-avec-can-20b-et-smbus-35804716,United Kingdom,"+33426308079, 0 .122.122.183.244.183, 0 .122.122.244.244.244",ELDERLY,EUROPAGES,NEW,,C,sales,,
Groupage Services,,"comercial@world-loads.com, logistic@world-loads.com",https://world-loads.com/,,"+0152-0153, +351 243 909 780, 0.192801 17.0955",ELDERLY,EUROPAGES,NEW,,C,sales,,
Schweisthal Beschlag- und Schließtechnik GmbH,,info@schweisthal.de,http://www.schweisthal.de/,Germany,"+49 2051 9332360, +49 2051 9332366, +4920519332360",ELDERLY,EUROPAGES,NEW,,C,sales,,
PDU - Electronic Protection System,,Not found,https://tyva-energie.com/fr/,,"+33 4 26 30 80 79, +33426308079, 0 0 352 512",ELDERLY,EUROPAGES,NEW,,C,sales,,
Almas Industries AG,,info@almas-industries.de,https://almas-industries.de,Germany,"+49 (0) 800 256 27 42, +49 621 842 528-0, +4906218425280",ELDERLY,EUROPAGES,NEW,,C,sales,,
Ernst-Udo Müller Internationale Spedition GmbH,,"anfrage@mueller-spedition.de, info@mueller-spedition.de",https://www.mueller-spedition.de/,Germany,"+49 (0) 2922 - 8777 - 0, +49 2922 - 8777 - 0, +49(0)2922 8777-0",ELDERLY,EUROPAGES,NEW,,C,sales,,
Echoview Host - Mini-controller for closed-loop wireless solution for gas detectors,,myautomation@honeywell.com,http://www.raesystems.fr/,France,"0-1.6-1.9-3-3.5-3, 0-2.5-2-4.5-4.4-4.5, 0-3.6-1.6-3.6-3.6",ELDERLY,EUROPAGES,NEW,,C,sales,,
"SI-BOX - Indoor alarm siren in ABS, self-powered",,info@atls.fr,http://www.altec-atls.fr,France,"0-119.2-22.4-164.7-67.3, 0-19.4-7.3-35.7-21.9-49, 0-21.2-6-37.3-18.1-48.2",ELDERLY,EUROPAGES,NEW,,C,sales,,
Avanis GmbH,,"e-commerce@avanis.de, info@avanis.de, marketing@avanis.de, sales@avanis.de, support@avanis.de",https://avanis.de,Germany,"+49 521 26012 12, 0 900 1001343, 0.44999999999999996",ELDERLY,EUROPAGES,NEW,,C,sales,,
Luxtrim GmbH,,"info@akkuteile-b2b.de, info@akkuteile.de",http://www.akkuteile-b2b.de/,Germany,"0221929857, 060219212263, 1.42857143",ELDERLY,EUROPAGES,NEW,,C,sales,,
GARMIN ASTRO 430 GPS PIG HUNTING DOG TRACKING SYSTEM - GARMIN ASTRO 430 GPS PIG HUNTING DOG TRACKING DEVICE,,Not found,https://www.gpsaps.com,,,ELDERLY,EUROPAGES,NEW,,C,sales,,
findyIoT,,info@findyiot.com,https://findyiot.com/,,"+359 2 818 09 53, +359 882 067 198, +35928180953",ELDERLY,EUROPAGES,NEW,,C,sales,,
P21 GPS Tracking Device with Extended Battery Life,,"dach@triomobil.com, france@triomobil.com, info@triomobil.com, netherlands@triomobil.com, poland@triomobil.com, sales@triomobil.com, support@triomobil.com, uk@triomobil.com, usa@triomobil.com",http://www.triomobil.com/en,,"+1 888-750-8746, +1 917-387-4929, +18887508746",ELDERLY,europages,NEW,,C,sales,,
MiniFinder ® Nano GPS Tracker and Personal Alarm,,Not found,https://shop.saferworx.gmbh/de/minifinder-nano-gps-tracker-und-personenalarm.html,,,ELDERLY,europages,NEW,,C,sales,,
Hovon Europe GmbH,,s@neuland.agency,http://www.hovon-europe.com/,,"+49 7231 1547475, +49 7231 1547476, 1472880168",ELDERLY,europages,NEW,,C,sales,,
"LCD Analog-Digital Clock AMC 26 for Seniors, Alzheimer's and Dementia Patients",,Not found,http://www.zeitdienst.de/produkte-dienstleistungen/zeitdiensttechnik/digital-innenuhren/lcd-analog-digitaluhr-amc-26-fuer-senioren-alzheimer-und-demenzkr.html,Germany,"+49 201 86624-0, +49 201 86624-22, +49201866240",ELDERLY,wlw,NEW,,C,sales,,
E-lostbag Premium - GPS Tracker for Luggage with No Subscription,,john.doe@gmail.com,https://www.e-lostbag.com,,,ELDERLY,europages,NEW,,C,sales,,
"FoxyWalk, terrestrial photogrammetry pole - Professional acquisition of terrestrial photogrammetry in pedestrian mode",,contact@heliceo.com,http://www.heliceo.com/en/home/,,"0 0 192 512, 0 0 448 512, 0 0 512 512",ELDERLY,europages,NEW,,C,sales,,
GPS Tracker,,Not found,https://krokofix.promoweb.shop/details/gps-tracker/1232574,,"00.483200263, 154.26.183.7, 2026-06-03",ELDERLY,wlw,NEW,,C,sales,,
IoT Tracker,,Not found,https://senseing.de/iot-produkte/traeck-lora-tracker/,Germany,"+49 721 90 99 7000, +4972190997000, 110180355",ELDERLY,wlw,NEW,,C,sales,,
Vehicle Geolocation - WayKonect,,Not found,https://mobility.totalenergies.com:443/fr/telematique,,"0 .963-.81 1.75-1.8 1.75, 0 3.26-.424 4.814, 0 5.523-4.477 10-10 10",ELDERLY,europages,NEW,,C,sales,,
Real-time monitoring,,Not found,https://www.gemone.com/en/,,,ELDERLY,europages,NEW,,C,sales,,
Thatcham Vehicle Trackers,,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, core-js-bundle@3.2.1, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, example@mysite.com., focus-within-polyfill@5.0.9, intl-segmenter@11.7.10, lodash@4.17.21, react-dom@18.3.1, react@18.3.1, rspack@1.6.8",https://www.carcomms.co.uk,United Kingdom,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,europages,NEW,,C,sales,,
Time Tracking,,info@skotech.de,https://www.skotech.de,Germany,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,europages,NEW,,C,sales,,
"Anker Soundcore Life Dot 2 True Wireless Earbuds, Bluetooth Earbuds",,Not found,https://therminatotorsadou.myshopify.com/products/anker-soundcore-life-dot-2-true-wireless-earbuds-bluetooth-earphones-superior-sound-secure-fit-with-airwings-bluetooth-5,,,ELDERLY,europages,NEW,,C,sales,,
"Custom housing for Heltec T114 without GPS – stable, functional & individual",,Not found,https://www.etsy.com/de/listing/4348540928/heltec-t114-pocket-ohne-gps-gehause,,,ELDERLY,wlw,NEW,,C,sales,,
Custom industrial boiler making,,Not found,http://www.chaudronnerie-sarem-64.fr/,France,"0 0.018 0.196 4.214, 0 0.054-4.58 7.491, 0 0.125 0.107 0.018",ELDERLY,europages,NEW,,C,sales,,
Disinfection Dispenser | Quality Made in Germany | for Aroa and Aguarico Disinfection Columns by Geck®,,Not found,https://geck.shop/hygiene/desinfektions-systeme/636/geck-pumpspender-1000-ml,,,ELDERLY,wlw,NEW,,C,sales,,
"Welded assemblies with precise manufacturing, high series quality, and versatile application",,geck@geck.de,https://www.geck.de/geschaeftsbereiche/industrie/,Germany,"+13.7031093, +45 70 25 25 37, +4570252537",ELDERLY,wlw,NEW,,C,sales,,
"2G3GCDMA4G, GPS, GLONASS Module HE910-D - EMEA, Latin America, North America, APAC, Australia, Africa, Russia,...",,info@roundsolutions.com,http://www.roundsolutions.com/,,"+49 (0) 6102 799 280, +49(0)6102799280, +496102799280",ELDERLY,europages,NEW,,C,sales,,
Time tracking systems for companies: Efficient working time recording with Time Laboris,,Not found,https://www.timelaboris.de/funktionalitaten/zeitmanagement,Germany,2026-06-03,ELDERLY,wlw,NEW,,C,sales,,
The flexible blind - FLEXI with 16 or 25mm slats,,info@rollorieper.de,https://www.rollorieper.de/jalousie/flexijalousie_25mm.html,Germany,"+49 (0)421 790 320 - 0, +49 (0)421 790 320 0, +49-421-7903200",ELDERLY,wlw,NEW,,C,sales,,
Ovelan Software SL,,"comercial@ovelan.es, ovelan@ovelan.es",https://www.ovelan.es,Spain,"+34902502028, 0 2.1.55 4.15 1.6 5.97, 0 5.45-4.43 9.89-9.85 9.89",ELDERLY,europages,NEW,,C,sales,,
A.S Auto & Machinery,,Not found,https://asamachinery.com,,"1773791972371, 18191582452, 88-8084-200",ELDERLY,europages,NEW,,C,sales,,
A.G.R. Transport srl,,info@agrtransport.it,https://www.agrtransport.it,Italy,"+39 081 19723546, +39 081 5922409, 0 .5-.2 1-.6 1.4-.3.4-.8.6-1.4.6",ELDERLY,europages,NEW,,C,sales,,
MIS,,"sales@mobil-i.com, sales@thinkred9.co.uk",https://www.mobil-i.com,,"+353 (0)1807 9806, +353(0)18079806, +353018079806",ELDERLY,europages,NEW,,C,sales,,
Böld Transporte GmbH,,"claus.boeld@boeld-transporte.de, gerhard.boeld@boeld-transporte.de, herbert.hauptmann@boeld-transporte.de, info@boeld-transporte.de, info@obstlager-augsburg.de, iris.mueller@boeld-transporte.de, juergen.centmeier@boeld-transporte.de, karl-heinz.boeld@boeld-transporte.de, ller@boeld-transporte.de, nicole.vollmer@boeld-transporte.de, patrick.englhart@boeld-transporte.de, sandra.hansen@boeld-transporte.de",https://böld-group.de,Germany,"+49 821 419005 - 0, +498214190050, +4982141900520",ELDERLY,europages,NEW,,C,sales,,
Kienzle Automotive GmbH,,"anfrage@kienzle.de, automotive@kienzle.de",https://www.kienzle.de/,Germany,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,europages,NEW,,C,sales,,
Unio Labs Ltd,,Not found,https://uniolabs.com,,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,europages,NEW,,C,sales,,
Dräger Mobile Portable Bluetooth Printer,,"fixedgas@shawcity.co.uk, info@shawcity.co.uk",http://www.shawcity.co.uk/,United Kingdom,"+44(0)1367 899553, +44(0)1793 550879, 0.000636575326",ELDERLY,europages,NEW,,C,sales,,
Navicon - Geolocator,,Not found,http://www.saetsrl.com,,,ELDERLY,europages,NEW,,C,sales,,
European Road Freight,,Not found,http://www.europeantransportation.com,,,ELDERLY,europages,NEW,,C,sales,,
40kW High-Voltage Solar Battery Charger,,office@microsoft.com,https://www.ampernext.com,,"+0152-0153, 0 0 128 128, 1019607843",ELDERLY,europages,NEW,,C,sales,,
Emergency call systems with radio information transmission SIRIUS,,leaflet@1.5.1,https://www.radom.eu,,"+420 466 414 181, +420 466 414 187, +420 466 414 195",ELDERLY,europages,NEW,,C,sales,,
Flow Sensor – Precise Measurement of Flow Rates in Real Time,,post@trilogik.de,https://trilogik.de/loesungen/durchflusssensor,Germany,"+49 2575 97757 - 0, +492575977570, +4925759775721",ELDERLY,wlw,NEW,,C,sales,,
"GPS Locator Quad Track - Allows immediate tracking of cars, trucks, containers, etc.",,Not found,https://www.endoacustica.com,,"+39 02 67739127, +39 06 32803486, +39 080 3026530",ELDERLY,europages,NEW,,C,sales,,
"M.u.T. Vertriebsgesellschaft für Medizin, Technik und Labor mbH",,mut@mut-berlin.de,https://mut.gmbh/,,"+49307722044, 030) 77 22 044, 030) 773 81 22",ELDERLY,europages,NEW,,C,sales,,
GPS Tracking Systems + Telematics for Vehicles,,"info@aua-sicherheit.de, info@online-profession.de, widerruf@aua-sicherheit.de",http://www.AuA-Sicherheit.de,Germany,"+49 (0) 251 - 74 74 619, +49 (0)251-7474619, +491724605555",ELDERLY,europages,NEW,,C,sales,,
AAA Alkaline Power Energizer x4,,marek@promokit.eu,http://www.panamar.it,Italy,"0 .17-.062.34-.183.47, 0 .414.336.75.75.75, 0 0 100 100",ELDERLY,europages,NEW,,C,sales,,
GPS Emergency Call,,"info@schlichtungsstelle-energie.de, kontakt@netze-bw.de",https://www.netze-bw.de/dienstleistungskunden/kommunikationmedien/gpsnotruf,Germany,"02-299202427, 030 2757240-0, 030 2757240-69",ELDERLY,wlw,NEW,,C,sales,,
LobiX NG Remote Alarm and I/O Module,,Not found,https://www.lucom.de/alarm-und-meldesysteme/lobix-ng-remote-alarm-und-i-o-modul-153593g.html,Germany,,ELDERLY,wlw,NEW,,C,sales,,
SALIND 01 4G,,info@vision-secur.com,https://www.vision-secur-pro.com,,"+351 966 782 313, 0 0 14.28571428, 0 0 16.66666666666667",ELDERLY,europages,NEW,,C,sales,,
Polinet Srl,,info@spiare.com,https://www.spiare.com,,"+39 06 87.13.16.72, +39 06 87.23.03.58, +39) 06.87.13.16.72",ELDERLY,europages,NEW,,C,sales,,
Demataki,,info@demataki.gr,https://demataki.gr/,,"+30 261 110 2000, +30261 1102000, 0 .3 0 1.3.3 2.2",ELDERLY,europages,NEW,,C,sales,,
SANCAR™ Single-Point V Sling with Shock Absorption & QD Compatibility,,info@anafarta.com.tr,https://www.anafarta.com.tr,,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,europages,NEW,,C,sales,,
Werkstattschmiede24,,info@werkstattschmiede24.de,http://werkstattschmiede24.de,Germany,"+4915146398867, 0 .5523-.4477 1-1 1, 0 6.6274-5.3726 12-12 12",ELDERLY,europages,NEW,,C,sales,,
PlaceWorkers GmbH,,"contact@placeworkers.com, ihre@email.de",http://placeworkers.com/,,"+49 (6441) 4450030, +4964414450030, 0 0 400 400",ELDERLY,europages,NEW,,C,sales,,
"IT made in Germany | Brauns IT, Inh. Torsten Brauns",,info@it-made-in-germany.de,https://it-made-in-germany.de,Germany,"+49 (0)30 233 216 061, +49(0)30 233216060, +49(0)30233216061",ELDERLY,europages,NEW,,C,sales,,
BrainyBins Asset Tracker - Precise Positioning,,Not found,https://www.maacks.com,,"+45 42 43 60 00, +4542436000, +49 (160) 97 08 33 47",ELDERLY,europages,NEW,,C,sales,,
ENGINE4.SERVICE - Mobile Order Processing and Digital Field Service Management,,"hallo@teufels.com, hallo@teufels.comtelefon, info@mobile-function.com, name@firma.de, name@unternehmen.de",https://www.mobile-function.com,,"+49 711 123456-0, +49 741 348 548 0, +49 7721 69700-300",ELDERLY,europages,NEW,,C,sales,,
"Transport Services for Inert Materials and Operating Machines – Transport of Sand, Clay, Gravel, and Equipment",,info@ruggi.it,https://www.movimentiterraruggi.com,,"+0152-0153, +39 0522 893203, +39 0522 893379",ELDERLY,europages,NEW,,C,sales,,
Forest Grain / Sand Grabber 150cm,,"complaints@myscrapmachine.com, complaints@myscrapmachine.com., contact@myscrapmachine.com, d.chapman@lefortuk.com, olly@ioplant.co.uk",https://myscrapmachine.com/fr,,"+352 621 964 246, +352) 26 10 60, +352) 26 10 60 -1",ELDERLY,europages,NEW,,C,sales,,
Chief Enterprises Europe GmbH,,sales@chiefent.com,http://www.chiefent.com,,"013601-508, 06366.1749535085, 085103-4177-4",ELDERLY,europages,NEW,,C,sales,,
Hot forging process of steel,,"christian.w@marovt.com, info@marovt.com",http://www.marovt.com/en/production-and-services/,,"+386 (0)3 757 21 00, +386 (0)3 757 21 05, +38637572100",ELDERLY,wlw,NEW,,C,sales,,
PRIVAPOL GROUP S.R.L.,,contatto@esempio.it,https://www.privapol.com,,"+39 987 6543211, 0432 1261774, 0432 419209",ELDERLY,europages,NEW,,C,sales,,
YellowFox GmbH,,"info@yellowfox.de, presse@yellowfox.de",https://www.yellowfox.de/,Germany,"+49 (0) 35204 753-100, +49 (0) 35204 753-111, +49 (0) 35204 753-189",ELDERLY,europages,NEW,,C,sales,,
Amazone Disc Harrow,,Not found,http://www.sdma-agri.com,,,ELDERLY,europages,NEW,,C,sales,,
DISVENT INGENIEROS,,Not found,https://disvent.com/,,"050210050, 116791291780474134, 1533106647",ELDERLY,europages,NEW,,C,sales,,
KRAUSE-Werk GmbH & Co. KG,,info@krause-systems.de,https://www.krause-systems.de/,Germany,"0 0 512 512, 0 137-111 248-248 248, 03.06.2026",ELDERLY,europages,NEW,,C,sales,,
Express Group Srl,,Not found,https://expressgroupsrl.it/,Italy,,ELDERLY,europages,NEW,,C,sales,,
Aplicom OY,,"ari.korhonen@aplicom.fi, hannu.salmela@aplicom.fi, harri.mikkonen@aplicom.fi, info@aplicom.fi, kundenservice@cardian.de, roger.adams@aplicom.de, service@aplicom.fi, support@aplicom.fi",https://www.aplicom.com,,"+358 10 841 9414, +358 40 723 7820, +358 50 3726 442",ELDERLY,europages,NEW,,C,sales,,
BV Effitrax,,alexandre.filoni@effitrax.com,https://www.effitrax.com,,"11684300-1024, 11684300-1365, 11684300-200",ELDERLY,europages,NEW,,C,sales,,
ifm electronic AG,,Not found,http://www.ifm.com/ch,,,ELDERLY,europages,NEW,,C,sales,,
HHS Transport SRL,,Not found,https://hhstransport.ro/,Romania,,ELDERLY,europages,NEW,,C,sales,,
Refractometer for concentration measurement,,info@milato.de,https://www.milato.de,Germany,"+49(0)1523-3550440, 0 0 100 100, 0-2.9-1.3-2.9-2.9",ELDERLY,europages,NEW,,C,sales,,
OPSYTEC DR. GRÖBEL GMBH,,info@opsytec.de,http://www.opsytec.de,Germany,"+49 - 7243 - 94 783 - 50, +49 - 7243 - 94 783 - 65, +49072439478350",ELDERLY,europages,NEW,,C,sales,,
MSO Meßtechnik und Ortung GmbH,,Not found,http://mso-technik.de/,Germany,"+49 (0)2257 - 9592090, +49 (0)2257 9592090, +49 (0)2257 9592091",ELDERLY,europages,NEW,,C,sales,,
